name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,language
心跳,Leehom Wang,0,0.546,0.499,7.0,-6.1389999999999985,1.0,0.0279,0.172,0.0,0.131,0.172,115.486,262080.0,2008.0,Mandarin
七里香,Jay Chou,56,0.483,0.5760000000000001,0.0,-6.9110000000000005,0.0,0.028,0.382,0.00011,0.278,0.49,142.132,295307.0,2004.0,Mandarin
大城小愛,Leehom Wang,0,0.73,0.525,7.0,-8.562000000000001,1.0,0.0314,0.654,0.0,0.128,0.531,131.575,222867.0,2005.0,Mandarin
公主病,Jay Chou,33,0.649,0.7120000000000001,7.0,-6.024,1.0,0.0374,0.163,4.06e-05,0.256,0.618,141.97799999999995,218760.0,2011.0,Mandarin
陽光宅男,Jay Chou,48,0.667,0.836,1.0,-6.386,0.0,0.0292,0.219,0.0,0.121,0.747,134.014,220827.0,2008.0,Mandarin
下雨天,Nan Quan Mama,0,0.516,0.545,4.0,-6.761,1.0,0.0292,0.593,0.0,0.361,0.274,127.968,253080.0,2008.0,Mandarin
匿名的好友,Rainie Yang,50,0.551,0.3670000000000001,2.0,-7.907,1.0,0.0291,0.609,0.0,0.172,0.205,119.842,261880.0,2009.0,Mandarin
很旅行的愛情,Cindy Yen,19,0.662,0.53,6.0,-8.698,1.0,0.0401,0.327,0.0,0.0943,0.313,130.019,251360.0,2009.0,Mandarin
永遠在身邊,Da Mouth,18,0.506,0.61,5.0,-7.895,1.0,0.0444,0.425,1.84e-06,0.106,0.762,79.854,281000.0,2010.0,Mandarin
雙人舞,Will Pan,0,0.8170000000000001,0.703,7.0,-5.522,0.0,0.202,0.0497,0.0,0.14300000000000002,0.747,148.002,197013.0,2009.0,Mandarin
彩虹,Jay Chou,55,0.612,0.279,0.0,-10.306,1.0,0.0386,0.778,0.0,0.121,0.345,147.916,261787.0,2008.0,Mandarin
唯一,Leehom Wang,37,0.336,0.462,3.0,-6.522,1.0,0.035,0.241,0.0,0.28800000000000003,0.183,118.008,262733.0,2001.0,Mandarin
藉口,Jay Chou,51,0.461,0.584,2.0,-6.724,1.0,0.0273,0.617,0.0,0.109,0.16899999999999998,130.92700000000002,256333.0,2004.0,Mandarin
忍不住原諒 (Tolerance),Landy Wen,0,0.613,0.531,8.0,-5.69,1.0,0.0411,0.344,0.0,0.0998,0.192,113.902,251351.0,2012.0,Mandarin
龍捲風,Jay Chou,0,0.637,0.557,9.0,-6.585,1.0,0.0314,0.6809999999999999,0.0,0.102,0.544,143.945,248160.0,2000.0,Mandarin
星晴,Jay Chou,0,0.637,0.329,7.0,-10.366,1.0,0.0349,0.725,8.51e-06,0.245,0.255,177.792,256667.0,2000.0,Mandarin
Fan Fong Xiang De Chong,Jay Chou,0,0.57,0.887,7.0,-7.9929999999999986,0.0,0.0448,0.0908,3.41e-06,0.197,0.182,94.607,256733.0,2000.0,Mandarin
黑色幽默,Jay Chou,0,0.603,0.292,10.0,-7.622000000000001,1.0,0.0282,0.406,0.0,0.136,0.231,127.905,280493.0,2000.0,Mandarin
擱淺,Jay Chou,57,0.4970000000000001,0.49,5.0,-7.1610000000000005,1.0,0.0276,0.6709999999999999,0.000417,0.155,0.126,122.71,236133.0,2004.0,Mandarin
止戰之殤,Jay Chou,45,0.477,0.725,1.0,-6.6770000000000005,0.0,0.0447,0.483,9.02e-05,0.109,0.337,88.956,274907.0,2004.0,Mandarin
Forever Love,Leehom Wang,0,0.34700000000000003,0.377,9.0,-8.274,1.0,0.029,0.546,0.0,0.0944,0.174,132.232,292640.0,2004.0,Mandarin
你是我心內的一首歌,Leehom Wang,0,0.535,0.529,6.0,-6.796,1.0,0.0272,0.226,0.0,0.102,0.585,181.68400000000003,166693.0,2007.0,Mandarin
流星雨,F4,0,0.578,0.448,4.0,-8.639,1.0,0.0258,0.129,0.0,0.0712,0.16899999999999998,136.05100000000002,276600.0,2001.0,Mandarin
帶我走,Rainie Yang,53,0.526,0.513,5.0,-6.982,1.0,0.0265,0.563,0.0,0.0951,0.255,141.941,289427.0,2008.0,Mandarin
有你的快樂,Joanna Wang,45,0.7909999999999999,0.68,11.0,-5.565,0.0,0.0271,0.557,2.26e-06,0.34600000000000003,0.6809999999999999,112.014,195880.0,2008.0,Mandarin
情非得已,Harlem Yu,59,0.6859999999999999,0.48,9.0,-7.59,0.0,0.0241,0.436,0.0,0.0879,0.7290000000000001,106.908,273960.0,2001.0,Mandarin
可愛女人,Jay Chou,0,0.767,0.6709999999999999,5.0,-9.995,1.0,0.0317,0.552,3.2299999999999986e-05,0.201,0.921,135.468,236467.0,2000.0,Mandarin
屋頂,Landy Wen,0,0.26,0.385,3.0,-7.917999999999998,1.0,0.0299,0.463,0.0,0.136,0.139,175.593,319040.0,2005.0,Mandarin
曖昧,Rainie Yang,51,0.541,0.238,3.0,-9.829,1.0,0.0281,0.899,0.0,0.113,0.159,84.008,250093.0,2005.0,Mandarin
太煩惱,Rainie Yang,15,0.504,0.7490000000000001,7.0,-4.794,1.0,0.0481,0.354,0.0,0.306,0.731,183.868,224453.0,2008.0,Mandarin
遇上愛,Rainie Yang,32,0.728,0.62,0.0,-6.775,1.0,0.0299,0.25,0.0,0.117,0.765,118.981,231427.0,2006.0,Mandarin
檸檬草的味道,Jolin Tsai,44,0.336,0.379,7.0,-6.269,1.0,0.0307,0.823,0.0,0.0904,0.332,138.183,271827.0,2004.0,Mandarin
天空,Jolin Tsai,33,0.499,0.415,5.0,-10.175,1.0,0.036000000000000004,0.047,0.0,0.0788,0.192,125.833,277093.0,2007.0,Mandarin
就是愛,Jolin Tsai,34,0.6729999999999999,0.635,7.0,-6.422999999999999,1.0,0.0252,0.345,0.0,0.149,0.799,92.985,254160.0,2007.0,Mandarin
二人遊,Khalil Fong,25,0.838,0.241,2.0,-10.654000000000002,1.0,0.0515,0.311,2.64e-05,0.116,0.205,135.012,179187.0,2011.0,Mandarin
星期六的深夜,Leehom Wang,0,0.331,0.154,5.0,-13.105,1.0,0.0404,0.939,0.0,0.132,0.324,60.24,303093.0,2007.0,Mandarin
Everything,Leehom Wang,0,0.454,0.395,1.0,-8.043,1.0,0.0292,0.343,0.0,0.0924,0.185,132.3,298347.0,2008.0,Mandarin
另一個天堂,Leehom Wang,0,0.637,0.477,1.0,-5.697,1.0,0.0289,0.341,0.0,0.0689,0.153,127.844,266160.0,2008.0,Mandarin
春雨裡洗過的太陽,Leehom Wang,0,0.715,0.44,6.0,-9.436,1.0,0.03,0.479,0.0,0.85,0.455,99.036,290400.0,2008.0,Mandarin
落葉歸根,Leehom Wang,0,0.284,0.229,8.0,-11.98,1.0,0.0369,0.861,0.0,0.0882,0.241,123.788,313947.0,2007.0,Mandarin
我們的歌,Leehom Wang,0,0.813,0.4270000000000001,1.0,-8.366,1.0,0.0521,0.0284,0.0,0.0807,0.852,139.944,244613.0,2007.0,Mandarin
You Exist In My Song,Wanting,37,0.474,0.47,1.0,-6.327000000000001,1.0,0.0341,0.6579999999999999,0.0,0.113,0.27,137.168,214720.0,2012.0,Mandarin
淘汰,Eason Chan,26,0.512,0.564,9.0,-5.473,1.0,0.0297,0.23,0.0,0.319,0.189,118.022,284987.0,2008.0,Mandarin
愛情轉移(國),Eason Chan,25,0.489,0.486,5.0,-8.026,1.0,0.0292,0.7020000000000001,0.0,0.285,0.371,104.118,262000.0,2008.0,Mandarin
My Love My Fate,Janice Vidal,0,0.313,0.35700000000000004,0.0,-8.512,1.0,0.0294,0.7290000000000001,0.0,0.106,0.124,81.26899999999998,269960.0,2009.0,Mandarin
What Do Men Believe,Janice Vidal,0,0.605,0.496,6.0,-7.1389999999999985,1.0,0.0412,0.385,0.0,0.0984,0.466,136.014,230147.0,2010.0,Mandarin
Even Though There Is No Fairy Tale In The World,Janice Vidal,0,0.618,0.415,0.0,-6.767,1.0,0.026,0.479,0.0,0.101,0.297,132.94899999999998,262200.0,2008.0,Mandarin
春泥,Harlem Yu,45,0.42,0.429,9.0,-10.099,0.0,0.036000000000000004,0.667,0.0,0.145,0.173,79.406,254800.0,2003.0,Mandarin
靜靜的,Harlem Yu,36,0.708,0.308,9.0,-10.006,1.0,0.044,0.365,0.0,0.16699999999999998,0.332,126.099,248827.0,2006.0,Mandarin
一首簡單的歌,Leehom Wang,0,0.495,0.329,9.0,-10.481,1.0,0.0296,0.7040000000000001,2.12e-06,0.109,0.337,75.05,247800.0,2011.0,Mandarin
我的秘密 Mysecret,G.E.M.,0,0.565,0.736,2.0,-5.7170000000000005,1.0,0.0314,0.202,0.0,0.0908,0.44,104.071,250147.0,2010.0,Mandarin
夢想啟動,Jay Chou,30,0.5579999999999999,0.773,3.0,-10.795,1.0,0.0636,0.131,0.027000000000000003,0.188,0.113,180.03,205467.0,2012.0,Mandarin
哪裡都是你,Jay Chou,44,0.447,0.593,5.0,-7.074,1.0,0.0263,0.153,1.35e-06,0.111,0.158,131.928,279040.0,2012.0,Mandarin
愛你沒差,Jay Chou,46,0.458,0.53,0.0,-8.401,1.0,0.0258,0.0969,0.0,0.109,0.225,150.142,280720.0,2012.0,Mandarin
明明就,Jay Chou,54,0.5429999999999999,0.428,9.0,-8.966000000000003,1.0,0.0262,0.14,0.0,0.0876,0.173,112.985,260387.0,2012.0,Mandarin
傻笑,Jay Chou,43,0.642,0.6890000000000001,5.0,-6.4460000000000015,0.0,0.0242,0.0582,1.28e-05,0.158,0.304,98.005,289960.0,2012.0,Mandarin
關於我愛你,Deserts Chang,43,0.579,0.35600000000000004,3.0,-11.312,1.0,0.026,0.281,1.22e-05,0.183,0.24,140.02,294160.0,2009.0,Mandarin
兒歌,Deserts Chang,32,0.679,0.14,1.0,-18.94,1.0,0.0369,0.953,0.000305,0.0986,0.383,117.242,183200.0,2007.0,Mandarin
喜歡,Deserts Chang,45,0.691,0.181,1.0,-17.201,1.0,0.0324,0.963,0.000371,0.108,0.313,103.013,279933.0,2007.0,Mandarin
100種生活,Crowd Lu,41,0.721,0.4,9.0,-7.626,0.0,0.031,0.65,0.0,0.0998,0.35,98.97,287427.0,2008.0,Mandarin
我愛你 (I Love You),Crowd Lu,0,0.596,0.667,2.0,-5.5939999999999985,1.0,0.0387,0.193,0.0,0.0979,0.512,92.909,285049.0,2008.0,Mandarin
我愛你,Crowd Lu,47,0.602,0.6609999999999999,2.0,-5.474,1.0,0.0423,0.194,0.0,0.152,0.503,92.904,285080.0,2008.0,Mandarin
慢靈魂 (Slow Soul),Crowd Lu,0,0.723,0.498,7.0,-7.075,1.0,0.0286,0.455,0.0,0.14,0.434,103.004,286093.0,2011.0,Mandarin
好想要揮霍,Crowd Lu,34,0.383,0.315,5.0,-10.734000000000002,1.0,0.0351,0.496,1e-05,0.119,0.241,139.202,330960.0,2008.0,Mandarin
獨家記憶,Jordan Chan,55,0.486,0.506,6.0,-7.967,1.0,0.0343,0.586,0.0,0.0841,0.485,79.914,307093.0,2008.0,Mandarin
難朋友(國),Jordan Chan,17,0.5429999999999999,0.479,1.0,-8.549,1.0,0.0792,0.472,0.0,0.107,0.251,118.27,231427.0,2008.0,Mandarin
他夏了夏天,Sodagreen,0,0.524,0.6679999999999999,9.0,-6.496,1.0,0.0303,0.13699999999999998,0.0,0.0845,0.721,125.045,304600.0,2009.0,Mandarin
蟬想,Sodagreen,0,0.304,0.731,9.0,-5.7810000000000015,1.0,0.0385,0.175,0.0,0.28800000000000003,0.138,168.06599999999997,283707.0,2009.0,Mandarin
交響夢,Sodagreen,0,0.5,0.455,4.0,-6.572,1.0,0.0265,0.471,0.0,0.161,0.279,134.485,279747.0,2009.0,Mandarin
那些年,Hu Xia,49,0.531,0.5660000000000001,5.0,-6.4270000000000005,1.0,0.0273,0.226,0.0,0.112,0.182,79.066,371080.0,2011.0,Mandarin
愛都是對的,Hu Xia,23,0.591,0.403,8.0,-7.7,1.0,0.0316,0.6729999999999999,0.0,0.116,0.171,116.03,259467.0,2010.0,Mandarin
愛夏,Hu Xia,42,0.568,0.601,10.0,-6.507999999999999,1.0,0.0255,0.339,0.0,0.127,0.507,129.975,271480.0,2010.0,Mandarin
燃點,Hu Xia,30,0.6409999999999999,0.505,10.0,-8.476,0.0,0.0273,0.264,0.0,0.117,0.329,123.952,225760.0,2012.0,Mandarin
傷心童話,Hu Xia,20,0.3670000000000001,0.525,1.0,-7.425,0.0,0.032,0.594,0.0,0.107,0.16899999999999998,137.9,270827.0,2012.0,Mandarin
我沒有,Lara Liang,3,0.475,0.336,0.0,-11.158,1.0,0.0254,0.693,1.26e-05,0.129,0.202,93.096,248480.0,2011.0,Mandarin
不敢哭,Lara Liang,26,0.513,0.35600000000000004,9.0,-10.418,1.0,0.0311,0.318,0.0,0.111,0.205,135.116,237240.0,2012.0,Mandarin
碎片,Lara Liang,17,0.498,0.392,0.0,-10.189,1.0,0.0332,0.735,0.0,0.123,0.246,173.982,204333.0,2012.0,Mandarin
悄悄告訴她,Nan Quan Mama,0,0.459,0.484,4.0,-6.3,1.0,0.0258,0.0687,1.36e-05,0.107,0.128,161.91299999999995,262387.0,2008.0,Mandarin
再見 小時候,Nan Quan Mama,0,0.562,0.504,6.0,-8.177999999999999,1.0,0.0313,0.339,5.57e-06,0.0834,0.64,148.019,230440.0,2008.0,Mandarin
離家不遠,Nan Quan Mama,0,0.512,0.6459999999999999,1.0,-5.46,0.0,0.028,0.023,0.0,0.396,0.435,149.952,274693.0,2006.0,Mandarin
小時候,Nan Quan Mama,0,0.474,0.616,8.0,-6.303,1.0,0.0286,0.0636,5.67e-05,0.395,0.14300000000000002,135.99200000000002,225120.0,2004.0,Mandarin
牡丹江,Nan Quan Mama,0,0.593,0.588,9.0,-7.061,1.0,0.0331,0.6920000000000001,7.9e-06,0.109,0.502,140.032,237560.0,2005.0,Mandarin
笑著流淚,Nan Quan Mama,0,0.44,0.561,6.0,-7.581,1.0,0.0381,0.161,7.35e-05,0.0967,0.395,78.77,263427.0,2007.0,Mandarin
獨一無二,Show Luo,0,0.7979999999999999,0.902,11.0,-3.05,0.0,0.0327,0.0681,0.0,0.267,0.52,120.021,227520.0,2011.0,Mandarin
我全都相信 (I Believe It All),Landy Wen,0,0.537,0.411,11.0,-7.146,1.0,0.0259,0.626,0.0,0.172,0.29100000000000004,81.913,239100.0,2009.0,Mandarin
Ru Guo Zhe Jiu Shi Ai Qing,Jane Zhang,0,0.7040000000000001,0.476,8.0,-8.209,1.0,0.0339,0.464,0.0,0.0959,0.4370000000000001,75.971,281413.0,2010.0,Mandarin
Wo Men Dou Gu Fu Le Ai,Jane Zhang,0,0.627,0.249,7.0,-11.445,1.0,0.0279,0.7759999999999999,0.0,0.117,0.389,79.937,231627.0,2010.0,Mandarin
出乎意料,Alisa Galper,0,0.757,0.721,4.0,-4.26,1.0,0.0565,0.2,0.0,0.0799,0.76,111.986,276347.0,2009.0,Mandarin
如果沒有明天,Alisa Galper,0,0.439,0.4320000000000001,3.0,-5.8660000000000005,0.0,0.0308,0.579,0.0,0.0942,0.205,137.691,304213.0,2009.0,Mandarin
非我不可,Alisa Galper,0,0.433,0.408,7.0,-6.268,1.0,0.038,0.8540000000000001,0.0,0.0827,0.272,126.0,290920.0,2009.0,Mandarin
也許,蜜雪薇琪,5,0.636,0.54,7.0,-5.247999999999998,1.0,0.0252,0.102,0.0,0.122,0.142,110.121,288907.0,2004.0,Mandarin
彩虹天堂,劉畊宏,37,0.532,0.698,8.0,-2.617,1.0,0.0297,0.6920000000000001,0.000366,0.14400000000000002,0.218,143.89600000000004,301387.0,2005.0,Mandarin
崩裂前聲嘶力竭,Y2j,16,0.486,0.698,1.0,-3.218,0.0,0.0285,0.0168,0.0,0.304,0.171,159.922,293947.0,2010.0,Mandarin
偏愛,張芸京,0,0.602,0.529,6.0,-7.285,0.0,0.0301,0.253,0.0,0.106,0.391,140.015,212834.0,2009.0,Mandarin
黑裙子,張芸京,0,0.43,0.463,5.0,-6.49,1.0,0.0288,0.215,0.0,0.0697,0.333,135.74200000000002,300327.0,2009.0,Mandarin
讓我照顧你,張芸京,0,0.471,0.4,9.0,-8.907,1.0,0.0283,0.34700000000000003,0.0,0.171,0.177,140.015,311194.0,2009.0,Mandarin
好心分手,Candy Lo,38,0.7340000000000001,0.536,11.0,-4.686,1.0,0.0318,0.601,0.0,0.1,0.591,114.036,180227.0,1998.0,Mandarin
一念之間 (A Flash of Thought),Penny Tai,0,0.623,0.435,9.0,-10.792,1.0,0.0423,0.807,0.0,0.0802,0.43,121.748,244200.0,2009.0,Mandarin
原諒我就是這樣的女生 (That's Me),Penny Tai,0,0.501,0.456,0.0,-7.9929999999999986,1.0,0.042,0.8190000000000001,0.0,0.0987,0.423,141.891,244333.0,2009.0,Mandarin
小乖乖,Evan Yo,20,0.75,0.662,0.0,-7.311,0.0,0.0532,0.121,0.0,0.5720000000000001,0.545,124.995,225440.0,2010.0,Mandarin
我想要說,Evan Yo,27,0.591,0.442,10.0,-5.192,1.0,0.028,0.813,0.0,0.111,0.184,131.97899999999998,228307.0,2006.0,Mandarin
我可以,Evan Yo,49,0.561,0.424,8.0,-5.567,1.0,0.0274,0.627,0.0,0.0912,0.154,132.817,266920.0,2006.0,Mandarin
2人,Evan Yo,0,0.328,0.175,7.0,-11.519,1.0,0.0363,0.909,1.55e-05,0.107,0.175,171.93599999999995,266973.0,2008.0,Mandarin
喇舌,Da Mouth,28,0.7090000000000001,0.907,0.0,-6.021,1.0,0.0605,0.0161,0.0,0.138,0.955,80.015,189053.0,2010.0,Mandarin
國王皇后,Da Mouth,9,0.929,0.639,11.0,-6.687,1.0,0.0443,0.0557,6.63e-05,0.0585,0.966,120.003,194240.0,2010.0,Mandarin
巴冷公主 (Princess Palen),張惠妹 (A-mei),0,0.599,0.698,7.0,-5.278,0.0,0.0292,0.204,0.0,0.0788,0.452,141.988,251173.0,2006.0,Mandarin
我是一個瘦瘦的男生,Hsiao Hung-Jen,17,0.645,0.43,7.0,-7.767,1.0,0.034,0.705,0.0,0.115,0.313,130.019,282947.0,2010.0,Mandarin
王寶釧苦守寒窯十八年,Hsiao Hung-Jen,0,0.542,0.52,6.0,-6.8210000000000015,1.0,0.039,0.598,0.0,0.249,0.303,151.99,311507.0,2008.0,Mandarin
陪你到世界的終結 (Till the End),Katncandix2,0,0.517,0.377,3.0,-8.837,1.0,0.0294,0.853,1.6e-05,0.123,0.398,145.77100000000004,199573.0,2009.0,Mandarin
胡鬧 (Mischievousness),Kenji Wu,0,0.506,0.481,3.0,-5.7620000000000005,1.0,0.0262,0.84,0.0,0.0912,0.474,157.944,329107.0,2012.0,Mandarin
因為你是女人 (Because You Are Woman),Kenji Wu,0,0.586,0.578,11.0,-5.489,1.0,0.0262,0.395,0.0,0.116,0.585,135.05700000000002,282413.0,2012.0,Mandarin
全部都給你 - Feat.鍾欣桐 (All for You),Kenji Wu,0,0.498,0.593,1.0,-4.133,1.0,0.027000000000000003,0.5489999999999999,0.0,0.166,0.458,142.006,245600.0,2012.0,Mandarin
不屑紀念 (Despise Memorising),Kenji Wu,0,0.579,0.435,10.0,-5.8820000000000014,1.0,0.0295,0.613,0.0,0.118,0.248,79.933,286493.0,2005.0,Mandarin
殘廢 (Cripple),Kenji Wu,0,0.434,0.526,8.0,-6.669,1.0,0.0347,0.41,0.0,0.363,0.301,147.74,343613.0,2006.0,Mandarin
誰 (Who),Kenji Wu,0,0.407,0.531,9.0,-5.67,1.0,0.0326,0.706,0.0,0.134,0.239,77.969,265467.0,2005.0,Mandarin
牽牽牽手 (Hand in Hand),Kenji Wu,0,0.435,0.483,6.0,-6.604,1.0,0.0508,0.727,0.0,0.0906,0.453,180.063,226733.0,2008.0,Mandarin
越愛越難過 (The More Love the More Sorrow),Kenji Wu,0,0.546,0.669,8.0,-5.232,1.0,0.0304,0.32299999999999995,0.0,0.133,0.399,138.053,272907.0,2008.0,Mandarin
傻瓜 (Fool),Kenji Wu,0,0.535,0.455,10.0,-6.14,1.0,0.0268,0.208,0.0,0.104,0.344,138.045,251377.0,2008.0,Mandarin
沒關係 (It's Alright),Kenji Wu,0,0.632,0.52,9.0,-6.149,1.0,0.0359,0.27,0.0,0.103,0.379,146.0,235680.0,2010.0,Mandarin
放棄你 (Give Up You),Kenji Wu,0,0.493,0.353,0.0,-6.934,1.0,0.0322,0.532,0.0,0.129,0.438,149.80100000000004,233161.0,2010.0,Mandarin
破心髒 (Broken Heart),Kenji Wu,0,0.725,0.897,7.0,-4.197,1.0,0.0346,0.0543,0.0,0.249,0.696,128.975,285773.0,2010.0,Mandarin
我不想知道她是誰,蔡詩蕓,0,0.5479999999999999,0.608,5.0,-4.266,1.0,0.0346,0.0465,0.0,0.0811,0.446,144.06,235413.0,2005.0,Mandarin
親愛的是我,Rachel Liang,3,0.369,0.446,11.0,-7.12,1.0,0.0289,0.512,0.0,0.113,0.105,143.75,277467.0,2009.0,Mandarin
哭過就好了,Rachel Liang,12,0.484,0.38,11.0,-8.31,1.0,0.0292,0.722,1.08e-06,0.115,0.249,133.33100000000002,291133.0,2009.0,Mandarin
滿滿,Rachel Liang,5,0.6759999999999999,0.5379999999999999,0.0,-5.6370000000000005,1.0,0.0368,0.441,0.0,0.0796,0.263,129.945,284760.0,2009.0,Mandarin
對味 (Right Taste),安又琪,0,0.638,0.547,11.0,-5.7620000000000005,1.0,0.0364,0.645,0.0,0.36,0.183,137.928,242840.0,2010.0,Mandarin
拋物線 (Projectile),Tanya Chua,0,0.52,0.31,10.0,-9.07,1.0,0.0273,0.882,0.000453,0.111,0.368,76.025,307507.0,2009.0,Mandarin
當你離開的時候 (When You Leave Me),Tanya Chua,0,0.58,0.502,7.0,-8.594,1.0,0.0293,0.8759999999999999,0.0,0.104,0.5579999999999999,129.865,237693.0,2007.0,Mandarin
勇氣 (Courage),Michael Wong,0,0.528,0.517,0.0,-6.309,1.0,0.028,0.158,8.26e-05,0.138,0.29600000000000004,115.057,258973.0,2006.0,Mandarin
約定 (Commitment),Michael Wong,0,0.524,0.447,10.0,-7.117000000000001,1.0,0.024,0.767,0.00115,0.151,0.278,95.232,233267.0,2006.0,Mandarin
不得不愛 (Can't Stop Love),Xian Zi,0,0.727,0.508,8.0,-6.146,1.0,0.0918,0.773,0.0,0.116,0.424,80.002,282867.0,2006.0,Mandarin
沿海地帶 (Coast City),Xian Zi,0,0.455,0.34,7.0,-6.099,1.0,0.0262,0.727,0.0,0.354,0.158,91.839,211360.0,2006.0,Mandarin
暗示 (Implication),Abin Fang,0,0.34700000000000003,0.473,6.0,-7.255,1.0,0.0339,0.677,5.61e-06,0.204,0.165,143.935,295533.0,2009.0,Mandarin
壞人 (Bad Guy),Abin Fang,0,0.542,0.518,11.0,-5.979,1.0,0.035,0.36,0.0,0.0955,0.251,99.878,300093.0,2008.0,Mandarin
風 (Wind),Abin Fang,0,0.415,0.6890000000000001,6.0,-5.2570000000000014,1.0,0.0301,0.152,0.0,0.116,0.276,144.024,311293.0,2008.0,Mandarin
你不必愛我 (You Don't Have to Love Me),Abin Fang,0,0.486,0.481,10.0,-7.692,1.0,0.0323,0.0598,0.0,0.138,0.166,84.016,292333.0,2008.0,Mandarin
遺憾 (Regret),Abin Fang,0,0.458,0.293,11.0,-8.937000000000003,1.0,0.031,0.7759999999999999,0.0,0.108,0.301,94.415,230627.0,2009.0,Mandarin
說了再見,Jay Chou,51,0.545,0.507,2.0,-7.963999999999999,1.0,0.0279,0.4920000000000001,0.0,0.135,0.151,124.041,280653.0,2010.0,Mandarin
想太多,Nicky Lee,0,0.484,0.359,11.0,-8.988,1.0,0.0243,0.738,0.0,0.12,0.156,77.098,216613.0,2007.0,Mandarin
我會好好過,Nicky Lee,0,0.381,0.387,0.0,-7.8,1.0,0.0295,0.799,0.0,0.115,0.168,69.684,250000.0,2006.0,Mandarin
圍牆,Nicky Lee,0,0.61,0.35700000000000004,7.0,-9.443,1.0,0.0365,0.785,0.0,0.13699999999999998,0.313,128.083,199453.0,2007.0,Mandarin
"不,完美",Nicky Lee,0,0.355,0.431,2.0,-8.396,1.0,0.0362,0.664,0.0,0.113,0.152,75.387,220707.0,2008.0,Mandarin
死結,Nicky Lee,0,0.4970000000000001,0.413,5.0,-9.516,1.0,0.0293,0.774,0.0,0.128,0.154,77.977,274653.0,2008.0,Mandarin
女爵 (Baroness),楊乃文 (Faith Yeung),0,0.334,0.7659999999999999,5.0,-4.399,1.0,0.0384,0.194,0.000135,0.116,0.194,156.523,267200.0,2006.0,Mandarin
來不及說再見 (No Time to Say Goodbye),郭書瑤 (Yao Yao),0,0.481,0.369,7.0,-7.73,1.0,0.0296,0.348,0.0,0.0951,0.0993,131.955,261513.0,2009.0,Mandarin
